"PublisherName"		"AppName"
Apogee Software Ltd.		Rise of the Triad - The Hunt Begins
AppMagic LLC		ExpenseIT
Apple Computer Inc.		AirPort Express Assistant
Apple Computer Inc.		AirPort Extreme Admin Utility
Apple Computer Inc.		Apple Keyboard Support
Apple Computer Inc.		Apple Software Update
Apple Computer Inc.		AppleWorks for Windows
Apple Computer Inc.		ClarisDraw
Apple Computer Inc.		ClarisWorks
Apple Computer Inc.		ICD
Apple Computer Inc.		MasterTech Personnel Potential Analysis
Apple Computer Inc.		QuickTime
Apple Computer Inc.		QuickTime Player
Apple Computer Inc.		QuickTime for Windows
Apple Computer Inc.		Rendezvous
Apple Computer Inc.		iDisk Utility for XP
Apple Computer Inc.		iPod Universal Updater
Apple Computer Inc.		iTunes
Applian Technologies Inc.		Replay A/V
Applications Software Inc.		None
Applicon Inc.		None
Applied Arts Ltd.		Easy Wedding Organizer
Applied Computer Solutions		None
Applied Decision Analysis Inc.		None
Applied Dynamics International Inc.		Beacon for Simulink
Applied Research Laboratories Inc.		None
Applied Voice & Speech Technologies Inc.		CallXpress Server
Applied Voice & Speech Technologies Inc.		Unified Messaging
Applix Inc.		License Manager
Applix Inc.		TM1
Approach Software Corporation (see Lotus)		None
Apriori Software Corporation		WinCD Professional
Aptech Systems Inc.		GAUSS
AquaFold Inc.		Aqua Data Studio
ArGo Software Design		ArGoSoft Mail Server
Arabesque Software Inc. (see NetManage Inc.)		None
Aragon Systems		Maelstrom
Araxis Ltd.		Araxis Merge
Arbot Software LLC		Simplyzip
ArcSoft Inc.		ArcSoft PhotoBase
ArcSoft Inc.		ArcSoft Software Suite
ArcSoft Inc.		Panorama Maker
ArcSoft Inc.		PhotoBase
ArcSoft Inc.		PhotoImpression
ArcSoft Inc.		PhotoPrinter
ArcSoft Inc.		PhotoRelay
ArcSoft Inc.		PhotoStudio
ArcSoft Inc.		ShowBiz
ArcSoft Inc.		Video Impression
ArcSoft Inc.		VideoImpression
Arcada Software Inc. (see Seagate Software)		None
Arcade Lab		Bricks of Camelot
Arch Wireless Holdings Inc. (see Mobility Inc.)		PageNet Lite
Archia Information Services Inc.		TestPrep Navigator
Archibus Inc.		ARCHIBUS/FM
Archimedes Software Inc.		BugBase
Ardent Software Inc.		SBClient
Ares Software Corporation (see Adobe)		None
Argent Software Inc.		Argent Console
Argent Software Inc.		Argent Queue Manager
Ariel Corporation		Ariel Performance
Aris Entertainment		Best of Media Clips
Arkosoft Technologies		Arkosoft System Snapshot
Arrowkey (see InfinaDyne)		None
Artec International Inc.		None
Artecon Inc. (see Dot Hill Systems Corp.)		None
Artemis Management Systems		Views
Artifex Software		Ghostscript
Artifice Inc.		DesignWorkshop Lite
Artisoft		CO/Session
Artisoft		CO/Session Host
Artisoft		LANtastic for Windows 95
Artisoft		More Windows
Artisoft		WinBeep (16-bit)
Artwork Conversion Software Inc.		None
Ascend Communications Inc.		None
Ascential Software (see IBM Corporation)		None
Asd Software Inc.		None
AshSoft Inc.		None
Ashampoo		WinOptimizer Platinum Suite
