Non-recursive (store_in_bucket) !!!

{"directory":{"downloads.vyperlogix.com":{"web":{"content":{"memcached":{"installers":{"windows":{"memcached-win32-1.4.4-14":{"memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/memcached.exe","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/pthreadGC2.dll","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/INSTALL","README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/README","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/libgcc_s_sjlj-1.dll","mingwm10.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/mingwm10.dll"},"memcached-win64-1.4.4-14":{"README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/README","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/pthreadGC2.dll","memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/memcached.exe","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/INSTALL","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/libgcc_s_sjlj-1.dll"}}}}}}}}}
         20621 function calls (20571 primitive calls) in 2.425 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 __init__.py:311(formattedException)
        1    0.000    0.000    0.000    0.000 __init__.py:317(TupleHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:32(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:33(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:333(FrozensetHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:338(ListHandler)
        5    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.008    0.008 __init__.py:35(atfork)
        1    0.000    0.000    0.000    0.000 __init__.py:354(SetHandler)
        5    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:360(DictHandler)
        5    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:381(ObjHandler)
        5    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:397(WinDLL)
        1    0.009    0.009    0.010    0.010 __init__.py:4(<module>)
        1    0.013    0.013    0.016    0.016 __init__.py:40(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:40(ParamikoSFTP)
        1    0.000    0.000    0.000    0.000 __init__.py:406(HRESULT)
        1    0.000    0.000    0.598    0.598 __init__.py:41(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:416(SlotedObjHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:419(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:42(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:432(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:442(InitArgsObjHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:447(PickleMethods)
        1    0.000    0.000    0.000    0.000 __init__.py:459(NormalizedKeyOptions)
        1    0.000    0.000    0.000    0.000 __init__.py:463(NewArgsObjHandler)
        6    0.000    0.000    0.000    0.000 __init__.py:465(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:470(PickledHash)
        1    0.008    0.008    0.280    0.280 __init__.py:49(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
       13    0.000    0.000    0.000    0.000 __init__.py:498(isRegistered)
       13    0.000    0.000    0.000    0.000 __init__.py:501(register)
        1    0.000    0.000    0.000    0.000 __init__.py:510(method)
        1    0.000    0.000    0.000    0.000 __init__.py:517(isOpened)
        1    0.000    0.000    0.000    0.000 __init__.py:524(fileName)
        1    0.000    0.000    0.000    0.000 __init__.py:531(db)
        1    0.000    0.000    0.000    0.000 __init__.py:56(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:578(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:584(addFilter)
        2    0.000    0.000    0.000    0.000 __init__.py:598(filter)
        1    0.000    0.000    0.002    0.002 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:72(<module>)
       20    0.000    0.000    0.000    0.000 __init__.py:74(isString)
        1    0.000    0.000    0.000    0.000 __init__.py:746(isPickleMethodUseStrings)
        1    0.000    0.000    0.000    0.000 __init__.py:753(isPickleMethodUseBsdDbShelf)
        1    0.000    0.000    0.000    0.000 __init__.py:760(isPickleMethodUseLZMA)
        1    0.000    0.000    0.000    0.000 __init__.py:767(isPickleMethodUseMarshal)
        1    0.000    0.000    0.000    0.000 __init__.py:774(isPickleMethodUseSafeSerializer)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:781(isPickleMethodUseCerealizer)
        1    0.000    0.000    0.000    0.000 __init__.py:788(isPickleMethodUseSimpleJSon)
        1    0.000    0.000    0.000    0.000 __init__.py:795(isPickleMethodUseZLIB)
        1    0.000    0.000    0.000    0.000 __init__.py:802(isPickleMethodUseLegacyFileMode)
        2    0.000    0.000    0.000    0.000 __init__.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:844(PickledHash2)
        1    0.000    0.000    0.000    0.000 __init__.py:884(PickledFastHash2)
        1    0.000    0.000    0.000    0.000 __init__.py:899(PickledFastCompressedHash2)
        1    0.000    0.000    0.000    0.000 __init__.py:915(PickledLzmaHash2)
        1    0.000    0.000    0.000    0.000 __init__.py:94(_iter_mixin)
        2    0.000    0.000    0.000    0.000 __init__.py:951(__init__)
